id,name,price,picture,details,manufacturer,item_code,color,material
21,Chusquea Bamboo,66.91,https://robohash.org/facereimpeditvoluptatem.jpg?size=50x50&set=set1,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,warfarin sodium,58517-360,Turquoise,Poaceae
22,Hookedspur Violet,98.56,https://robohash.org/sitperspiciatiset.png?size=50x50&set=set1,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui,Ponderosa Pine,36987-2964,Turquoise,Violaceae
23,Featherleaf Fleabane,24.36,https://robohash.org/eavoluptateamet.bmp?size=50x50&set=set1,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,Lisinopril,51138-066,Pink,Asteraceae
24,Venezuelan Treebine,50.94,https://robohash.org/quaererumdolores.bmp?size=50x50&set=set1,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,BELSOMRA,0006-0005,Mauv,Vitaceae
25,Peck s Indian Paintbrush,10.83,https://robohash.org/laudantiumvoluptateset.jpg?size=50x50&set=set1,suspendisse potenti in eleifend quam a odio in hac habitasse platea,METHOTREXATE,66336-338,Khaki,Scrophulariaceae
26,Appalachian Polytrichum Moss,53.2,https://robohash.org/abducimusenim.jpg?size=50x50&set=set1,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,Crest,37000-849,Goldenrod,Polytrichaceae
27,Granite Flatsedge,33.47,https://robohash.org/quieaquevero.bmp?size=50x50&set=set1,duis ac nibh fusce lacus purus aliquet at feugiat non,SILVADENE,49999-143,Maroon,Cyperaceae
28,Eastern Teaberry,4.11,https://robohash.org/nihiltemporeexpedita.bmp?size=50x50&set=set1,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,CELTIS OCCIDENTALIS POLLEN,0268-1200,Violet,Ericaceae
29,Florida Willow,11.9,https://robohash.org/placeateumratione.png?size=50x50&set=set1,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,Montelukast Sodium,0093-7424,Purple,Salicaceae
30,American Bushmint,3.96,https://robohash.org/liberoquaeratmagnam.png?size=50x50&set=set1,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed,Regular Strength Pain Reliever,53185-005,Puce,Lamiaceae
31,Anoectangium Moss,45.21,https://robohash.org/sitexplicabodolores.png?size=50x50&set=set1,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,Risperidone,23155-317,Indigo,Pottiaceae
32,Jawleaf Lupine,25.45,https://robohash.org/recusandaeutperspiciatis.jpg?size=50x50&set=set1,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,Zithromax,0069-3070,Red,Fabaceae
33,Sierra Valley Evening Primrose,41.66,https://robohash.org/adcumreiciendis.png?size=50x50&set=set1,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,Trileptal,0078-0337,Crimson,Onagraceae
34,Sand Pine,54.83,https://robohash.org/debitiscommodiearum.png?size=50x50&set=set1,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,Norethindrone,0378-7292,Indigo,Pinaceae
35,Mountain Meadowfoam,17.31,https://robohash.org/quaevoluptatemautem.jpg?size=50x50&set=set1,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,health mart enema,62011-0154,Indigo,Limnanthaceae
36,Japanese Paspalum,99.05,https://robohash.org/repudiandaequiodit.png?size=50x50&set=set1,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,Oregon Ash,36987-2491,Aquamarine,Poaceae
37,Milletgrass,91.49,https://robohash.org/eligendiplaceatvelit.bmp?size=50x50&set=set1,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,OXALIPLATIN,0069-1010,Aquamarine,Poaceae
38,Cardinal Climber,90.44,https://robohash.org/enimducimusofficia.png?size=50x50&set=set1,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,GERMAN COCKROACH,54575-319,Indigo,Convolvulaceae
39,Juniper Skin Lichen,48.29,https://robohash.org/cupiditateducimusaut.jpg?size=50x50&set=set1,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at,ADENOSINE,64679-630,Indigo,Collemataceae
40,Parish s Sunflower,22.21,https://robohash.org/utharumreprehenderit.png?size=50x50&set=set1,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,SYNTHROID,55154-0906,Red,Asteraceae
41,Golden Chaetopappa,53.45,https://robohash.org/indolorlibero.jpg?size=50x50&set=set1,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,Silver Maple,36987-2771,Yellow,Asteraceae
42,Japanese Jasmine,27.46,https://robohash.org/inciduntvoluptasautem.bmp?size=50x50&set=set1,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent,Morphine Sulfate,63629-4484,Fuscia,Oleaceae
43,Roundleaf Bladderpod,5.62,https://robohash.org/inquibusdamnihil.png?size=50x50&set=set1,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,CRH Medsense Simethicone 125mg Antigas,69041-004,Turquoise,Brassicaceae
44,Broom,89.63,https://robohash.org/etculpaalias.png?size=50x50&set=set1,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,Sports Injury,55714-1107,Green,Fabaceae
45,Steven s Sedge,19.84,https://robohash.org/atharumincidunt.bmp?size=50x50&set=set1,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,Sinosil,44237-007,Purple,Cyperaceae
46,Threeray Tarweed,92.97,https://robohash.org/nihilofficiaet.bmp?size=50x50&set=set1,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,Propranolol Hydrochloride,68151-2016,Goldenrod,Asteraceae
47,West Humboldt Buckwheat,30.14,https://robohash.org/etautemiste.png?size=50x50&set=set1,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,Head Remedy,25237-0515,Teal,Polygonaceae
48,Hybrid Ladyslipper,95.39,https://robohash.org/quodquiaquam.bmp?size=50x50&set=set1,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,Ondansetron,35356-853,Blue,Orchidaceae
49,Bluecurls,29.88,https://robohash.org/quosnobismollitia.jpg?size=50x50&set=set1,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,Lower Back Complex,52731-7021,Crimson,Lamiaceae
50,Old Wood Rimmed Lichen,87.53,https://robohash.org/exercitationemautet.png?size=50x50&set=set1,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,Zofran,49349-858,Green,Opegraphaceae
51,Hayden s Indian Paintbrush,16.64,https://robohash.org/atquecumquis.png?size=50x50&set=set1,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,Caraway Seed,36987-1673,Fuscia,Scrophulariaceae
52,Mosquito Crowngrass,89.19,https://robohash.org/etaspernaturut.bmp?size=50x50&set=set1,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,L OCCITANE IMMORTELLE BRIGHTENING SHIELD SPF 40 SUNSCREEN,10345-024,Aquamarine,Poaceae
53,Shellbark Hickory,61.08,https://robohash.org/essedoloremquesint.jpg?size=50x50&set=set1,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,Topco Associates LLC,36800-481,Aquamarine,Juglandaceae
54,American Pistachio,22.43,https://robohash.org/voluptatibusineum.bmp?size=50x50&set=set1,cras in purus eu magna vulputate luctus cum sociis natoque,OXECTA,60793-525,Green,Anacardiaceae
55,Sharpscale Sedge,34.99,https://robohash.org/utofficiadolores.jpg?size=50x50&set=set1,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,Sulfamethoxazole and Trimethoprim,49349-665,Maroon,Cyperaceae
56,Cordyla,92.42,https://robohash.org/veniamillumvoluptas.png?size=50x50&set=set1,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,Anti-Bacterial Hand Spray,62670-3754,Blue,Fabaceae
57,Grape Soda Lupine,8.47,https://robohash.org/officiadoloremquererum.bmp?size=50x50&set=set1,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,Aspergillus terreus,36987-1897,Indigo,Fabaceae
58,Spiderflower,81.45,https://robohash.org/veniamatquetempora.bmp?size=50x50&set=set1,etiam faucibus cursus urna ut tellus nulla ut erat id,Citalopram,54458-896,Aquamarine,Capparaceae
59,Anadyr Draba,23.95,https://robohash.org/etmagninesciunt.png?size=50x50&set=set1,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,antacid,42507-595,Green,Brassicaceae
60,Solmsiella Moss,9.74,https://robohash.org/voluptatesdoloribusquod.png?size=50x50&set=set1,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,Montelukast,63629-4886,Maroon,Erpodiaceae
61,Cyclanthera,3.54,https://robohash.org/dictavoluptatumvoluptatem.bmp?size=50x50&set=set1,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,CC Daily Correct Broad Spectrum SPF 35 Sunscreen,75936-122,Green,Cucurbitaceae
62,Giantchickweed,90.77,https://robohash.org/nisivoluptatemaliquam.jpg?size=50x50&set=set1,eu orci mauris lacinia sapien quis libero nullam sit amet,Loperamide Hydrochloride,68094-217,Red,Caryophyllaceae
63,Daphnopsis,68.8,https://robohash.org/teneturnesciuntnulla.bmp?size=50x50&set=set1,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla,Loperamide Hydrochloride,76237-200,Pink,Thymelaeaceae
64,Gilman s Springparsley,63.91,https://robohash.org/autfugiatsit.jpg?size=50x50&set=set1,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,Antibacterial Lotion Soap,52380-1865,Aquamarine,Apiaceae
65,St. Thomas Lidpod,60.62,https://robohash.org/sintnatusfacere.jpg?size=50x50&set=set1,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,Omeprazole,49349-887,Khaki,Convolvulaceae
66,Utah Serviceberry,10.27,https://robohash.org/quibusdamblanditiisautem.bmp?size=50x50&set=set1,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,Stool Softener,68196-110,Orange,Rosaceae
67,Spiny Cliffbrake,46.42,https://robohash.org/abminimavoluptatem.png?size=50x50&set=set1,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam,Enoxaparin Sodium,55154-5442,Aquamarine,Pteridaceae
68,Barnacle Lichen,71.41,https://robohash.org/cumqueestet.jpg?size=50x50&set=set1,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,IASO INTENSIVE CLEAR CONDITIONER,75847-1707,Orange,Thelotremataceae
69,Texas Pricklyleaf,46.98,https://robohash.org/molestiaequodoloribus.png?size=50x50&set=set1,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,Lisinopril,68788-9661,Turquoise,Asteraceae
70,Soft Popcornflower,35.76,https://robohash.org/voluptatemnequeipsa.png?size=50x50&set=set1,rutrum neque aenean auctor gravida sem praesent id massa id nisl,GODDESS GARDEN ORGANICS Lavender Mint DAILY BROAD SPECTRUM SPF 15,58479-001,Teal,Boraginaceae
71,Maui Cyanea,42.92,https://robohash.org/quoinut.jpg?size=50x50&set=set1,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,Q Health Pain Relief Spray,54102-000,Purple,Campanulaceae
72,Pineland Dwarf Mistletoe,36.99,https://robohash.org/voluptasvelitea.jpg?size=50x50&set=set1,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,LBEL,13537-031,Goldenrod,Viscaceae
73,Yellowcress,35.03,https://robohash.org/fugasaepein.jpg?size=50x50&set=set1,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,Silicea Belladonna,48951-8189,Blue,Brassicaceae
74,Morton s Canadian Milkvetch,3.71,https://robohash.org/sedenimsit.jpg?size=50x50&set=set1,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,Acetaminophen And Codeine Phosphate,63739-004,Fuscia,Fabaceae
75,Skin Lichen,45.57,https://robohash.org/beataedebitisfugiat.png?size=50x50&set=set1,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,ZIOPTAN,0006-3931,Crimson,Collemataceae
76,Arizona Phacelia,20.07,https://robohash.org/aperiameasimilique.jpg?size=50x50&set=set1,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,Pioglitazone hydrochloride and glimepiride,0781-5635,Turquoise,Hydrophyllaceae
77,Rolland s Sedge,14.64,https://robohash.org/undeipsumdoloremque.bmp?size=50x50&set=set1,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,Anti-Bacterial Moisturizing Hand,62670-4339,Pink,Cyperaceae
78,Drew s Silky Lupine,31.88,https://robohash.org/accusantiummagniincidunt.png?size=50x50&set=set1,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis,Pantoprazole Sodium,63187-005,Aquamarine,Fabaceae
79,Serviceberry,13.75,https://robohash.org/nemoetquidem.png?size=50x50&set=set1,in lacus curabitur at ipsum ac tellus semper interdum mauris,Non-Aspirin PM Extra Strength,51824-017,Aquamarine,Rosaceae
80,Glandular Yellow Phacelia,82.46,https://robohash.org/voluptasquiipsam.png?size=50x50&set=set1,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,LEVOXYL,54868-4536,Fuscia,Hydrophyllaceae
81,Curtis  Disc Lichen,58.42,https://robohash.org/architectoquilibero.png?size=50x50&set=set1,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,Disney PIXAR Monsters University Antibacterial Hand Wipes,57469-005,Fuscia,Physciaceae
82,Compact Dodder,94.17,https://robohash.org/voluptasfacereveniam.jpg?size=50x50&set=set1,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,Hydralazine Hydrochloride,50111-328,Puce,Cuscutaceae
83,Korean Hornbeam,64.49,https://robohash.org/perferendisvoluptatemnon.png?size=50x50&set=set1,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,Insects (whole body) Fire Ant Mix,65044-6518,Purple,Betulaceae
84,Cartilage Lichen,26.39,https://robohash.org/nonperspiciatisofficia.bmp?size=50x50&set=set1,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,Ibuprofen,59779-685,Purple,Ramalinaceae
85,Umbrella Star Orchid,54.22,https://robohash.org/namlaboriosamlaudantium.bmp?size=50x50&set=set1,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,Venlafaxine Hydrochloride,13668-020,Yellow,Orchidaceae
86,Seliger s Herzogiella Moss,69.06,https://robohash.org/sitaporro.jpg?size=50x50&set=set1,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,Venlafaxine,53808-0937,Goldenrod,Hypnaceae
87,Wild Leadwort,85.58,https://robohash.org/omniscumquedolorum.png?size=50x50&set=set1,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,Pepto-Bismol,54569-3285,Violet,Plumbaginaceae
88,Greenland Cinquefoil,91.36,https://robohash.org/necessitatibusnesciuntnihil.jpg?size=50x50&set=set1,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,OUT OF THE BLUE SCENTED HAND SANITIZER,33992-8806,Puce,Rosaceae
89,Tall Cottongrass,21.28,https://robohash.org/saepeharumeaque.png?size=50x50&set=set1,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,Stress - Tension,55714-2331,Crimson,Cyperaceae
90,Mexican Brassbuttons,13.89,https://robohash.org/etdolorconsequatur.png?size=50x50&set=set1,vestibulum proin eu mi nulla ac enim in tempor turpis nec,Enalapril Maleate,0093-0026,Teal,Asteraceae
91,Treculia,40.97,https://robohash.org/aututrerum.jpg?size=50x50&set=set1,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,Good Neighbor Pharmacy ibuprofen,24385-058,Aquamarine,Moraceae
92,Intricate Rim Lichen,23.2,https://robohash.org/earumnihilet.jpg?size=50x50&set=set1,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,H-Balm,51393-6557,Violet,Lecanoraceae
93,Broadleaf Lupine,72.43,https://robohash.org/idcommodivoluptas.jpg?size=50x50&set=set1,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,WHOLE EGG,54575-390,Aquamarine,Fabaceae
94,Fringed Willowherb,25.27,https://robohash.org/eumnostrummolestiae.jpg?size=50x50&set=set1,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,ALTERNARIA TENUIS,0268-0805,Puce,Onagraceae
95,Staghorn Clubmoss,27.28,https://robohash.org/vitaevelitminima.png?size=50x50&set=set1,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,Cold and Flu BP,15127-957,Puce,Lycopodiaceae
96,Towering Lousewort,30.93,https://robohash.org/sitnihilitaque.jpg?size=50x50&set=set1,vestibulum ante ipsum primis in faucibus orci luctus et ultrices,THERAMAX ALLERGY RELIEF NASAL,51445-201,Puce,Scrophulariaceae
97,Thurber s Wirelettuce,6.29,https://robohash.org/etundeplaceat.png?size=50x50&set=set1,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,Ethosuximide,50111-901,Purple,Asteraceae
98,Oakes  Evening Primrose,60.99,https://robohash.org/laboriosamquisquamiure.png?size=50x50&set=set1,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,House Dust,36987-1129,Purple,Onagraceae
99,Ouachita Mountain Sedge,54.77,https://robohash.org/illumnecessitatibussit.png?size=50x50&set=set1,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,TINEACIDE,63347-511,Mauv,Cyperaceae
100,Bolander s Silene,24.55,https://robohash.org/consecteturcommodiet.png?size=50x50&set=set1,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,Shopko,37012-016,Turquoise,Caryophyllaceae
101,Field Groundcherry,58.65,https://robohash.org/etautemnihil.jpg?size=50x50&set=set1,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium,Dr. Oberon Original Snail Cream,52891-105,Orange,Solanaceae
102,Rim Lichen,26.31,https://robohash.org/sitducimusin.jpg?size=50x50&set=set1,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,ChloraPrep One-Step,54365-400,Goldenrod,Lecanoraceae
103,Siskiyou Phacelia,82.32,https://robohash.org/estdelenitivoluptatem.jpg?size=50x50&set=set1,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,Grapefruit,36987-1330,Pink,Hydrophyllaceae
104,Stinking Milkvetch,59.19,https://robohash.org/fugitcorporisconsequatur.png?size=50x50&set=set1,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,Calendula,60660-7782,Yellow,Fabaceae
105,Pyrenean Sedge,87.93,https://robohash.org/maximequibusdamvel.jpg?size=50x50&set=set1,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,Loratadine,60505-0147,Orange,Cyperaceae
106,Cayratia,59.45,https://robohash.org/atqueeumaccusantium.jpg?size=50x50&set=set1,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,Pollens - Weeds and Garden Plants Nettle Urtica dioica,65044-1946,Green,Vitaceae
107,Round Pricklyhead Poppy,99.25,https://robohash.org/voluptatequiofficia.bmp?size=50x50&set=set1,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi,Chlorpheniramine Maleate,55154-5456,Mauv,Papaveraceae
108,Fibrousroot Sedge,8.16,https://robohash.org/etnesciuntvoluptas.bmp?size=50x50&set=set1,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,Sucralfate,49349-017,Teal,Cyperaceae
109,Damianita,86.68,https://robohash.org/quiasedquo.bmp?size=50x50&set=set1,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,Finacea,54868-5236,Turquoise,Asteraceae
110,Pink Turtlehead,29.27,https://robohash.org/etvelvoluptate.bmp?size=50x50&set=set1,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,Modafinil,43353-831,Turquoise,Scrophulariaceae
111,Brightblue Speedwell,17.46,https://robohash.org/necessitatibusetest.bmp?size=50x50&set=set1,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,AMBROSIA TRIFIDA POLLEN,0268-1441,Puce,Scrophulariaceae
112,Cory s Dutchman s Pipe,2.24,https://robohash.org/voluptatumdictaassumenda.jpg?size=50x50&set=set1,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,Triamcinolone Acetonide,54569-1124,Orange,Aristolochiaceae
113,Foxtail Copperleaf,2.54,https://robohash.org/magnamvoluptasmaxime.bmp?size=50x50&set=set1,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,Kroger Sport Sunscreen,30142-938,Indigo,Euphorbiaceae
114,Bleeding Heart,57.05,https://robohash.org/laboretemporemolestiae.jpg?size=50x50&set=set1,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,Metronidazole,68001-230,Goldenrod,Fumariaceae
